Customer	Cust#	CustGrp	TradeIco	CivMil	Po#	Item#	Description	ItemType	Pl	SubPl	PlannerCode	Order#	Line#	Schd#	Order Date	SchDate	ReqDate	PromDate	CommitDate	PickSlip#	ShipDate	ShipQty	ExtPrice	ExtCost	Margin	Trx#	Trxdate	TrxYr	TrxQtr	TrxMo	TrxWk	Mrkt	QuoteOrRma	WAYBILL_NUM	MegMo	days	ot	LINE_ID	LINE_TYPE_CODE	ShipVia	DocumentNumber
PAC SCI - Sales	2002	PAC SCI	INTERCO	CIVIL	MARKETING/STEVE HOWSON	52001965-1	DISCHARGE OUTLET, ASSY, MACHINED	SA	FIR	01X	PLNR03	255250	3	0	04/05/2013	10/04/2013	08/14/2015	08/17/2015	12/31/2014	357862	08/14/2015	6	$0.00	$3,924.32	-$3,924.32	60254540	08/14/2015	2015	3	08	33	SPA		close per EF  gievn to Eng a long time ago	08	0	ONTIME	486696	REGULAR	Ship In Place	255250-357862
M7 AEROSPACE	2804		TRADE	CIVIL	V102824	140290-1	REGULATOR	FG	PRV	02P	PLNR04	255596	2	5	05/01/2013	02/17/2015	02/25/2015	03/02/2015	02/21/2015	380333	02/13/2015	1	$8,957.00	$1,848.15	$7,108.85	60247922	02/13/2015	2015	1	02	07	OEM	SS050712A	613757408717	02	12	ONTIME	489095	DETAIL	FEDEX Ground	255596-380333
PAC SCI - Sales	2002	PAC SCI	INTERCO	CIVIL	ALEX-LJ200	33200028-2	FIRE EXT, 125 CU IN HERMETIC, SINGLE OUT, TCPS, GAUGE	FG	FIR	01F	PLNR01	256066	1	0	06/06/2013	11/08/2013	06/04/2015	11/22/2013	12/31/2014	356638	06/04/2015	4	$0.00	$8,518.00	-$8,518.00	60252108	06/04/2015	2015	2	06	23	SPA		ok to close per IC/Alex H	06	0	ONTIME	492874	REGULAR	Ship In Place	256066-356638
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500473474	33000092-6	FIREX, 50, 2 OUT, (0492-3)	FG	FIR	01F	PLNR01	256094	1	7	06/07/2013	01/06/2015	01/23/2015	01/29/2015	01/14/2015	378867	01/23/2015	1	$1,729.37	$2,500.16	-$770.79	60247149	01/23/2015	2015	1	01	04	OEM	CONTRACT	FEDEX	01	0	ONTIME	492974	DETAIL	FEDEX Intl Priority	256094-378867
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500473474	33000092-6	FIREX, 50, 2 OUT, (0492-3)	FG	FIR	01F	PLNR01	256094	1	8	06/07/2013	01/19/2015	01/27/2015	02/04/2015	01/27/2015	379382	01/27/2015	1	$1,729.37	$2,534.88	-$805.51	60247271	01/27/2015	2015	1	01	05	OEM	CONTRACT	FEDEX	01	0	ONTIME	492975	DETAIL	FEDEX Intl Economy	256094-379382
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500473474	33000092-6	FIREX, 50, 2 OUT, (0492-3)	FG	FIR	01F	PLNR01	256094	1	9	06/07/2013	01/30/2015	02/09/2015	02/17/2015	02/09/2015	380079	02/09/2015	1	$1,729.37	$2,534.88	-$805.51	60247762	02/09/2015	2015	1	02	07	OEM	CONTRACT	FEDEX	02	0	ONTIME	492976	DETAIL	FEDEX Intl Economy	256094-380079
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500473474	33000092-6	FIREX, 50, 2 OUT, (0492-3)	FG	FIR	01F	PLNR01	256094	1	10	06/07/2013	02/16/2015	02/27/2015	03/04/2015	02/24/2015	380755	02/27/2015	1	$1,729.37	$2,534.88	-$805.51	60248501	02/27/2015	2015	1	02	09	OEM	CONTRACT	632494297005	02	0	ONTIME	492977	DETAIL	FEDEX Intl Economy	256094-380755
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500473474	33000092-6	FIREX, 50, 2 OUT, (0492-3)	FG	FIR	01F	PLNR01	256094	1	11	06/07/2013	03/03/2015	03/10/2015	03/17/2015	03/10/2015	380756	03/10/2015	1	$1,729.37	$2,426.89	-$697.52	60248769	03/10/2015	2015	1	03	11	OEM	CONTRACT	FEDEX	03	0	ONTIME	492978	DETAIL	FEDEX Intl Economy	256094-380756
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500473474	33000092-6	FIREX, 50, 2 OUT, (0492-3)	FG	FIR	01F	PLNR01	256094	1	12	06/07/2013	03/09/2015	03/24/2015	03/25/2015	03/17/2015	381980	03/24/2015	1	$1,729.37	$2,426.89	-$697.52	60249260	03/24/2015	2015	1	03	13	OEM	CONTRACT	632494299924	03	0	ONTIME	492979	DETAIL	FEDEX Intl Priority	256094-381980
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500473474	33000092-6	FIREX, 50, 2 OUT, (0492-3)	FG	FIR	01F	PLNR01	256094	1	13	06/07/2013	03/17/2015	03/25/2015	04/02/2015	03/25/2015	381982	03/25/2015	1	$1,729.37	$2,426.89	-$697.52	60249313	03/25/2015	2015	1	03	13	OEM	CONTRACT	632494300553	03	0	ONTIME	492980	DETAIL	FEDEX Intl Economy	256094-381982
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500473474	33000092-6	FIREX, 50, 2 OUT, (0492-3)	FG	FIR	01F	PLNR01	256094	1	14	06/07/2013	03/13/2015	04/08/2015	04/16/2015	04/08/2015	381981	04/08/2015	1	$1,729.37	$2,426.89	-$697.52	60249841	04/08/2015	2015	2	04	15	OEM	CONTRACT	FEDEX	04	0	ONTIME	492981	DETAIL	FEDEX Intl Priority	256094-381981
HARBIN EMBRAER AIRCRAFT INDUSTRY CO. LTD.	8485	EMBRAER	TRADE	CIVIL	451215214	33600057-5	FIREX 224-2(0173-1)	FG	FIR	01F	PLNR01	256112	20	0	06/10/2013	06/30/2014	03/13/2015	03/17/2015	10/10/2014	381652	03/17/2015	1	$1,442.77	$2,338.32	-$895.55	60249012	03/17/2015	2015	1	03	12	OEM	LTA	FEDEX'	03	-4	LATE	493079	REGULAR	DVS c/o Griley	256112-381652
LEARJET INC_YL	1284	LEARJET	TRADE	CIVIL	PO0626052	18600	DISCHARGE INDICATOR	FG	FIR	01Y	PLNR09	256378	1	5	07/03/2013	01/08/2015	01/17/2015	01/22/2015	01/15/2015	378684	01/17/2015	8	$507.20	$228.53	$278.67	60246983	01/17/2015	2015	1	01	04	OEM	LTA	613757404457	01	0	ONTIME	495052	DETAIL	FEDEX Express3	256378-378684
LEARJET INC_YL	1284	LEARJET	TRADE	CIVIL	PO0626052	18600	DISCHARGE INDICATOR	FG	FIR	01Y	PLNR09	256378	1	6	07/03/2013	04/03/2015	03/27/2015	04/01/2015	04/03/2015	381907	03/19/2015	8	$507.20	$225.80	$281.40	60249101	03/19/2015	2015	1	03	12	OEM	LTA	613757413750	03	8	ONTIME	495053	DETAIL	FEDEX Ground	256378-381907
NORTHROP GRUMMAN CORP.	1453	NORTHROP GRUMMAN	TRADE	MILITARY	2841122	34500042-3	FIREX 630 CU IN, SINGLE OUT W/PRESS GAUGE	FG	FIR	01F	PLNR01	256517	3	0	09/02/2013	11/21/2014	02/17/2015	01/12/2015	01/05/2015	379443	02/16/2015	2	$6,800.00	$4,311.52	$2,488.48	60247969	02/16/2015	2015	1	02	08	OEM	JG020413B	632494294462	02	1	ONTIME	495861	REGULAR	FEDEX P-1	256517-379443
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	1	07/17/2013	04/07/2015	04/14/2015	04/21/2015	02/04/2015	382449	03/26/2015	1	$1,729.37	$2,462.92	-$733.55	60249382	03/26/2015	2015	1	03	13	OEM	LTA	FEDEX	03	19	ONTIME	495976	DETAIL	FEDEX Intl Priority	256525-382449
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	1	07/17/2013	04/07/2015	04/14/2015	04/21/2015	02/04/2015	382980	04/14/2015	2	$3,458.74	$4,925.84	-$1,467.10	60250109	04/14/2015	2015	2	04	16	OEM	LTA	FEDEX	04	0	ONTIME	495976	DETAIL	FEDEX Intl Economy	256525-382980
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	2	07/17/2013	04/20/2015	04/30/2015	05/01/2015	02/17/2015	382981	04/27/2015	1	$1,729.37	$2,462.92	-$733.55	60250561	04/27/2015	2015	2	04	18	OEM	LTA	632494305073	04	3	ONTIME	495977	DETAIL	FEDEX Intl Economy	256525-382981
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	2	07/17/2013	04/20/2015	04/30/2015	05/01/2015	02/17/2015	384201	04/30/2015	2	$3,458.74	$4,925.84	-$1,467.10	60250772	04/30/2015	2015	2	04	18	OEM	LTA	632494305875	04	0	ONTIME	495977	DETAIL	FEDEX Intl Priority	256525-384201
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	3	07/17/2013	05/04/2015	05/11/2015	05/15/2015	03/02/2015	384818	05/11/2015	2	$3,458.74	$4,925.84	-$1,467.10	60251177	05/11/2015	2015	2	05	20	OEM	LTA	FEDE	05	0	ONTIME	495978	DETAIL	FEDEX Intl Economy	256525-384818
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	4	07/17/2013	05/11/2015	05/18/2015	05/25/2015	03/16/2015	384819	05/18/2015	2	$3,458.74	$4,925.84	-$1,467.10	60251400	05/18/2015	2015	2	05	21	OEM	LTA	FEDEX	05	0	ONTIME	495979	DETAIL	FEDEX Intl Economy	256525-384819
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	5	07/17/2013	05/21/2015	05/28/2015	06/04/2015	03/23/2015	385266	05/28/2015	2	$3,458.74	$4,925.84	-$1,467.10	60251810	05/28/2015	2015	2	05	22	OEM	LTA	63249430---	05	0	ONTIME	495980	DETAIL	FEDEX Intl Economy	256525-385266
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	6	07/17/2013	06/01/2015	06/08/2015	06/15/2015	03/31/2015	385319	06/08/2015	2	$3,458.74	$4,925.84	-$1,467.10	60252213	06/08/2015	2015	2	06	24	OEM	LTA	632494310750	06	0	ONTIME	495981	DETAIL	FEDEX Intl Economy	256525-385319
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	7	07/17/2013	06/04/2015	06/11/2015	06/18/2015	04/13/2015	386480	06/11/2015	3	$5,188.11	$7,388.76	-$2,200.65	60252357	06/11/2015	2015	2	06	24	OEM	LTA	632494311469	06	0	ONTIME	495982	DETAIL	FEDEX Intl Economy	256525-386480
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	8	07/17/2013	06/29/2015	07/06/2015	07/13/2015	04/21/2015	387909	06/30/2015	3	$5,188.11	$7,388.76	-$2,200.65	60253010	06/30/2015	2015	2	06	27	OEM	LTA	FEDEX	06	6	ONTIME	495983	DETAIL	FEDEX Intl Economy	256525-387909
BELL HELICOPTER TEXTRON CANADA-YL	1224	BELL HELICOPTER	TRADE	CIVIL	4500481159	33000076-6	FIREX, 50, 2 OUT, (0417-3)	FG	FIR	01F	PLNR01	256525	1	9	07/17/2013	07/31/2015	08/07/2015	08/14/2015	05/05/2015	389695	08/07/2015	3	$5,188.11	$7,388.76	-$2,200.65	60254325	08/07/2015	2015	3	08	32	OEM	LTA	fedex	08	0	ONTIME	495984	DETAIL	FEDEX Intl Economy	256525-389695
GULFSTREAM AEROSPACE CORP(SAVANNAH, GA.)	1423	GULFSTREAM	TRADE	CIVIL	VR0061739	33600102-1	FIREX, 224, 3 OUT, (0578-1)	FG	FIR	01F		256981	1	0	11/14/2014	03/27/2015	04/09/2015	04/10/2015	09/20/2014	383130	04/09/2015	2	$6,000.00	$0.00	$6,000.00	60249890	04/09/2015	2015	2	04	15	WTY	RPR107631	632494302810	04	0	ONTIME	498409	REGULAR	FEDEX P-1	256981-383130
LOCKHEED GEORGIA CO_YL	1296	LOCKHEED	TRADE	MILITARY	6533372366	33600078-2	FIREX, 224, 2 OUT, (0345-1)	FG	FIR	01F	PLNR01	257055	1	4	08/28/2013	11/18/2014	02/06/2015	12/02/2014	12/01/2014	376128	02/04/2015	4	$19,008.00	$11,285.13	$7,722.87	60247633	02/04/2015	2015	1	02	06	OEM		580951072830	02	2	ONTIME	499035	DETAIL	FEDEX Std Overnight	257055-376128
AIRBUS OPERATIONS GMBH	1445	AIRBUS	TRADE	CIVIL	8203894447	34600086-1	FIREX, 630,SING OUT, (0406-1)	FG	FIR	01F		257082	5	0	11/11/2013	08/30/2013	05/11/2015	09/12/2013	09/05/2014	357354	05/11/2015	1	$0.00	$0.00	$0.00	60251176	05/11/2015	2015	2	05	20	RPR	RPR107194	SCRAP	05	0	ONTIME	499188	REGULAR	Ship In Place	257082-357354
GOODRICH AEROSPACE	2870	GOODRICH	TRADE	CIVIL	10148559	35001016-1	DISCHARGE INDICATOR	FG	FIR	01Y	PLNR09	257359	3	2	09/23/2013	02/02/2015	02/12/2015	02/19/2015	03/17/2015	380053	02/12/2015	7	$924.70	$377.17	$547.53	60247893	02/12/2015	2015	1	02	07	OEM	QKB021913A	613757408382	02	0	ONTIME	500337	DETAIL	FEDEX Ground	257359-380053
GOODRICH AEROSPACE	2870	GOODRICH	TRADE	CIVIL	10148559	35001016-1	DISCHARGE INDICATOR	FG	FIR	01Y	PLNR09	257359	3	3	09/23/2013	04/01/2015	04/09/2015	04/20/2015	05/14/2015	382345	03/27/2015	8	$1,056.80	$390.27	$666.53	60249481	03/27/2015	2015	1	03	13	OEM	QKB021913A	613757415020	03	13	ONTIME	500338	DETAIL	FEDEX Ground	257359-382345
GOODRICH AEROSPACE	2870	GOODRICH	TRADE	CIVIL	10148559	35001016-1	DISCHARGE INDICATOR	FG	FIR	01Y	PLNR09	257359	3	4	09/23/2013	06/18/2015	06/25/2015	07/02/2015	06/17/2015	387127	06/22/2015	8	$1,056.80	$390.27	$666.53	60252707	06/22/2015	2015	2	06	26	OEM	QKB021913A	613757426392	06	3	ONTIME	500342	DETAIL	FEDEX Ground	257359-387127
GOODRICH AEROSPACE	2870	GOODRICH	TRADE	CIVIL	10148559	35201013-1	DOUBLE CHECK TEE	FG	FIR	01Y	PLNR09	257359	4	1	09/23/2013	01/05/2015	01/16/2015	01/19/2015	01/12/2015	378553	01/16/2015	4	$1,389.60	$427.39	$962.21	60246953	01/16/2015	2015	1	01	03	OEM	QKB021913A	613757404354	01	0	ONTIME	500345	DETAIL	FEDEX P-1	257359-378553
